City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
315,Taquaritinga Do Norte,BR,67.8,overcast clouds,-7.9031,-36.0442,Pousada Thalyta
317,Ankpa,NG,66.56,clear sky,7.3706,7.6253,AA Suites
323,Hue,VN,66.31,mist,16.4667,107.6,Saigon Morin Hotel
326,Islamkot,PK,70.29,clear sky,24.6997,70.177,Haji Hotel
329,Catuday,PH,80.85,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
330,Todos Santos,MX,65.01,few clouds,23.45,-110.2167,Hotel California Todos Santos
331,Tuy Hoa,VN,73.36,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
332,Pedro Ii,BR,69.76,overcast clouds,-4.4247,-41.4586,Opala Hotel
334,Amethi,IN,64.24,few clouds,26.15,81.8167,Taj Hotel
336,Kismayo,SO,80.19,broken clouds,-0.3582,42.5454,Agan-Hotel
337,Calamar,CO,80.55,clear sky,10.2511,-74.9146,Hostal Katyalex
339,Negombo,LK,82.45,clear sky,7.2083,79.8358,Hotel Sunset Beach
340,Medak,IN,72.5,few clouds,18.0333,78.2667,Haritha Heritage Hotel
342,Champerico,GT,79.36,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
347,Tezu,IN,72.82,broken clouds,27.9167,96.1667,Circuit House
350,Kloulklubed,PW,86.5,few clouds,7.0419,134.2556,Storyboard Beach Resort
352,Culpeper,US,60.21,moderate rain,38.5004,-77.9664,Loose Lodge
354,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
355,Tarakan,ID,85.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
358,Ambilobe,MG,78.78,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
360,Sterling,US,60.66,mist,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
361,Buin,CL,69.73,clear sky,-33.7333,-70.75,Paihuen
362,Mana,GF,75.29,overcast clouds,5.6592,-53.7767,LE SAMANA
365,Bengkulu,ID,81.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
368,Sampit,ID,88.12,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
375,Odienne,CI,65.26,clear sky,9.51,-7.5692,Oustaz Vame DIAKITE
378,Faanui,PF,81.28,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
379,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
381,Brufut,GM,73.31,clear sky,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
383,Uthal,PK,69.12,clear sky,25.8072,66.6219,Al-Mustafa Hotel
385,Omboue,GA,75.09,overcast clouds,-1.5746,9.2618,Hotel Olako
393,West Bay,KY,78.08,few clouds,19.3667,-81.4167,Calypso Cove
394,Boffa,GN,71.51,clear sky,10.1667,-14.0333,Hôtel Niara Belly
397,Caucaia,BR,82.35,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
400,Lazaro Cardenas,MX,69.71,clear sky,17.9583,-102.2,quinta antigua
405,Khed,IN,81.77,overcast clouds,17.7167,73.3833,Swagat Lodge
406,San Felipe,VE,70.38,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
408,Wanning,CN,66.9,overcast clouds,18.8003,110.3967,Paradise Hotel
412,Totness,SR,77.07,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
413,Tuskegee,US,65.55,heavy intensity rain,32.424,-85.6916,Macon Motel
414,Taunggyi,MM,71.65,clear sky,20.7833,97.0333,True Treasure Hotel
415,Warri,NG,75.63,scattered clouds,5.5167,5.75,BON Hotel Delta
417,Kailua,US,76.98,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
418,Asheboro,US,64.47,overcast clouds,35.7079,-79.8136,Hampton Inn Asheboro
419,Paithan,IN,69.48,broken clouds,19.4833,75.3833,Prakash lahase
